complete_game,earned_runs,hbp,hits,hits_per_nine,homeruns,hr_per_nine,innings_pitched,left_on_base,pitcher_age,pitchers_used,runs,so_per_nine,so_walk,strikeouts,team,walks,walks_per_nine,whip,year
1,636,55,1398,8.6,115,0.7,1463.1,1111,28.0,27,707,8.1,2.60,1311,CHC,504,3.1,1.300,2014.0
3,687,69,1468,9.2,140,0.9,1441.0,1174,27.4,26,758,7.2,2.07,1152,CHW,557,3.5,1.405,2014.0
5,576,69,1282,8.0,163,1.0,1446.0,1117,28.0,25,612,8.0,2.54,1290,CIN,507,3.2,1.237,2014.0
6,581,58,1398,8.6,135,0.8,1468.1,1135,27.2,23,653,8.9,3.13,1450,CLE,464,2.8,1.268,2014.0
1,770,54,1528,9.6,173,1.1,1431.0,1137,28.5,26,818,6.8,2.02,1074,COL,531,3.3,1.439,2014.0
5,648,42,1475,9.1,127,0.8,1454.0,1124,28.5,30,705,7.7,2.69,1244,DET,462,2.9,1.332,2014.0
7,657,52,1437,9.0,139,0.9,1438.2,1115,27.9,28,723,7.1,2.35,1137,HOU,484,3.0,1.335,2014.0
3,565,56,1386,8.6,128,0.8,1450.2,1125,28.9,23,624,7.2,2.65,1168,KCR,440,2.7,1.259,2014.0
3,590,63,1307,7.9,126,0.8,1482.2,1101,28.4,31,630,8.1,2.66,1342,LAA,504,3.1,1.221,2014.0
7,554,41,1338,8.2,142,0.9,1464.2,1064,29.9,25,617,8.4,3.20,1373,LAD,429,2.6,1.206,2014.0
3,613,49,1481,9.1,114,0.7,1457.2,1170,26.4,25,674,7.3,2.60,1190,MIA,458,2.8,1.330,2014.0
3,594,42,1386,8.6,167,1.0,1457.2,1076,29.0,21,657,7.7,2.89,1246,MIL,431,2.7,1.247,2014.0
2,728,45,1588,10.0,147,0.9,1435.0,1130,29.2,23,777,6.5,2.53,1031,MIN,408,2.6,1.391,2014.0
1,568,50,1370,8.4,141,0.9,1463.2,1161,28.9,22,618,8.0,2.56,1303,NYM,509,3.1,1.284,2014.0
5,605,65,1392,8.6,164,1.0,1453.0,1091,29.3,33,664,8.5,3.44,1370,NYY,398,2.5,1.232,2014.0
7,524,48,1269,7.8,147,0.9,1463.1,1010,28.2,23,572,7.7,3.06,1244,OAK,406,2.5,1.145,2014.0
2,619,69,1396,8.6,134,0.8,1468.1,1169,30.1,26,687,7.7,2.41,1255,PHI,521,3.2,1.306,2014.0
2,562,88,1341,8.3,128,0.8,1456.1,1130,28.1,23,631,7.6,2.46,1228,PIT,499,3.1,1.263,2014.0
4,523,46,1300,8.1,117,0.7,1438.2,1113,28.8,24,577,8.0,2.78,1284,SDP,462,2.9,1.225,2014.0
2,512,52,1240,7.7,137,0.8,1452.0,1064,29.0,20,554,8.2,2.84,1317,SEA,463,2.9,1.173,2014.0
8,564,57,1305,8.1,133,0.8,1449.0,986,31.7,21,614,7.5,3.11,1211,SFG,389,2.4,1.169,2014.0
8,564,61,1321,8.2,123,0.8,1448.2,1120,27.2,24,603,7.6,2.60,1221,STL,470,2.9,1.236,2014.0
3,579,58,1292,7.9,145,0.9,1463.2,1115,28.4,23,625,8.8,2.98,1437,TBR,482,3.0,1.212,2014.0
